Country,Year,Type,Category,Displacements,latitude,longitude,event_start,event_end,disp_start,disp_end
PAK,2024,Disaster,Flood,95,34.30497,71.598351,2024-04-15,2024-04-15,2024-04-15,2024-04-15
PAK,2024,Disaster,Flood,7,33.0,70.0,2024-04-15,2024-04-15,2024-04-15,2024-04-15
MYS,2024,Disaster,Flood,91,2.38358,102.159409,2024-04-15,2024-04-15,2024-04-15,2024-04-15
PAK,2024,Disaster,Flood,7,34.193802,72.045151,2024-04-15,2024-04-15,2024-04-15,2024-04-15
PAK,2024,Disaster,Flood,7,34.14423,71.732368,2024-04-12,2024-04-15,2024-04-15,2024-04-15
PAK,2024,Disaster,Flood,27,35.14603,72.012619,2024-04-13,2024-04-15,2024-04-15,2024-04-15
PAK,2024,Disaster,Flood,20,34.5,72.0,2024-04-15,2024-04-15,2024-04-15,2024-04-15
MYS,2024,Disaster,Flood,12,2.24633,102.229439,2024-04-15,2024-04-15,2024-04-15,2024-04-15
PAK,2024,Disaster,Flood,14,33.666672,71.0,2024-04-15,2024-04-15,2024-04-15,2024-04-15
PAK,2024,Disaster,Flood,7,34.5,71.333328,2024-04-15,2024-04-15,2024-04-15,2024-04-15
PAK,2024,Disaster,Flood,20,34.833328,71.5,2024-04-15,2024-04-15,2024-04-15,2024-04-15
PAK,2024,Disaster,Mass Movement,34,35.850891,71.790192,2024-04-15,2024-04-15,2024-04-15,2024-04-15
PAK,2024,Disaster,Flood,14,35.093319,72.017853,2024-04-15,2024-04-15,2024-04-15,2024-04-15
PAK,2024,Disaster,Flood,7,34.95694,72.848061,2024-04-15,2024-04-15,2024-04-15,2024-04-15
ESP,2024,Disaster,Wildfire,180,38.706581,-0.09245,2024-04-14,2024-04-15,2024-04-14,2024-04-15
PAK,2024,Disaster,Flood,20,35.14603,72.012619,2024-04-13,2024-04-15,2024-04-14,2024-04-14
PAK,2024,Disaster,Flood,68,35.850891,71.790192,2024-04-13,2024-04-14,2024-04-14,2024-04-14
PAK,2024,Disaster,Flood,7,35.14603,72.012619,2024-04-13,2024-04-15,2024-04-13,2024-04-13
PAK,2024,Disaster,Flood,7,35.850891,71.790192,2024-04-13,2024-04-14,2024-04-13,2024-04-13
