Country,Year,Sex,Age,Value
ABW,1990,female,0-4,158.3
ABW,1990,female,5-9,178.6
ABW,1990,female,10-14,204.1
ABW,1990,female, 15-19,239.1
ABW,1990,female,20-24,286.5
ABW,1990,female,25-29,338.2
ABW,1990,female,30-34,362.3
ABW,1990,female,35-39,343.1
ABW,1990,female,40-44,282.1
ABW,1990,female,45-49,209.6
ABW,1990,female,50-54,156.4
ABW,1990,female,55-59,126.1
ABW,1990,female,60-64,109.4
ABW,1990,female,65-69,92.9
ABW,1990,female,70-74,76.6
ABW,1990,female,75+,117.5
ABW,1990,male,0-4,124.2
ABW,1990,male,5-9,140.5
ABW,1990,male,10-14,167.7
ABW,1990,male, 15-19,200.6
ABW,1990,male,20-24,237.5
ABW,1990,male,25-29,274.0
ABW,1990,male,30-34,286.3
ABW,1990,male,35-39,270.7
ABW,1990,male,40-44,224.7
ABW,1990,male,45-49,169.1
ABW,1990,male,50-54,125.6
ABW,1990,male,55-59,101.0
ABW,1990,male,60-64,85.3
ABW,1990,male,65-69,74.4
ABW,1990,male,70-74,53.7
ABW,1990,male,75+,70.8
ABW,1990,total,0-4,278.3
ABW,1990,total,5-9,314.9
ABW,1990,total,10-14,370.2
ABW,1990,total, 15-19,440.7
ABW,1990,total,20-24,526.6
ABW,1990,total,25-29,615.4
ABW,1990,total,30-34,651.2
ABW,1990,total,35-39,616.5
ABW,1990,total,40-44,508.5
ABW,1990,total,45-49,379.4
ABW,1990,total,50-54,282.1
ABW,1990,total,55-59,227.0
ABW,1990,total,60-64,194.2
ABW,1990,total,65-69,167.0
ABW,1990,total,70-74,129.7
ABW,1990,total,75+,185.4
ABW,1995,female,0-4,167.4
ABW,1995,female,5-9,198.1
ABW,1995,female,10-14,228.4
ABW,1995,female, 15-19,274.2
ABW,1995,female,20-24,332.3
ABW,1995,female,25-29,393.4
ABW,1995,female,30-34,420.2
ABW,1995,female,35-39,400.8
ABW,1995,female,40-44,328.8
ABW,1995,female,45-49,243.7
ABW,1995,female,50-54,181.5
ABW,1995,female,55-59,144.4
ABW,1995,female,60-64,121.1
ABW,1995,female,65-69,103.3
ABW,1995,female,70-74,86.3
ABW,1995,female,75+,115.2
ABW,1995,male,0-4,130.1
ABW,1995,male,5-9,155.2
ABW,1995,male,10-14,187.3
ABW,1995,male, 15-19,226.8
ABW,1995,male,20-24,271.9
ABW,1995,male,25-29,318.2
ABW,1995,male,30-34,332.5
ABW,1995,male,35-39,313.6
ABW,1995,male,40-44,256.5
ABW,1995,male,45-49,193.5
ABW,1995,male,50-54,144.3
ABW,1995,male,55-59,116.3
ABW,1995,male,60-64,97.1
ABW,1995,male,65-69,83.3
ABW,1995,male,70-74,63.0
ABW,1995,male,75+,76.6
ABW,1995,total,0-4,292.5
ABW,1995,total,5-9,348.3
ABW,1995,total,10-14,413.7
ABW,1995,total, 15-19,500.9
ABW,1995,total,20-24,605.7
ABW,1995,total,25-29,715.0
ABW,1995,total,30-34,755.6
ABW,1995,total,35-39,717.6
ABW,1995,total,40-44,587.0
ABW,1995,total,45-49,438.3
ABW,1995,total,50-54,326.0
ABW,1995,total,55-59,261.0
ABW,1995,total,60-64,218.2
ABW,1995,total,65-69,186.7
ABW,1995,total,70-74,148.7
ABW,1995,total,75+,189.7
ABW,2000,female,0-4,151.8
ABW,2000,female,5-9,177.4
ABW,2000,female,10-14,196.0
ABW,2000,female, 15-19,238.9
ABW,2000,female,20-24,299.4
ABW,2000,female,25-29,351.2
ABW,2000,female,30-34,389.4
ABW,2000,female,35-39,407.3
ABW,2000,female,40-44,404.8
ABW,2000,female,45-49,381.7
ABW,2000,female,50-54,333.2
ABW,2000,female,55-59,270.8
ABW,2000,female,60-64,218.5
ABW,2000,female,65-69,159.1
ABW,2000,female,70-74,104.9
ABW,2000,female,75+,182.5
ABW,2000,male,0-4,115.6
ABW,2000,male,5-9,139.7
ABW,2000,male,10-14,158.9
ABW,2000,male, 15-19,191.7
ABW,2000,male,20-24,239.1
ABW,2000,male,25-29,282.8
ABW,2000,male,30-34,310.5
ABW,2000,male,35-39,321.8
ABW,2000,male,40-44,317.1
ABW,2000,male,45-49,301.5
ABW,2000,male,50-54,272.1
ABW,2000,male,55-59,232.3
ABW,2000,male,60-64,193.2
ABW,2000,male,65-69,142.2
ABW,2000,male,70-74,71.0
ABW,2000,male,75+,105.4
ABW,2000,total,0-4,261.6
ABW,2000,total,5-9,312.7
ABW,2000,total,10-14,352.5
ABW,2000,total, 15-19,428.6
ABW,2000,total,20-24,537.4
ABW,2000,total,25-29,634.9
ABW,2000,total,30-34,700.3
ABW,2000,total,35-39,731.2
ABW,2000,total,40-44,724.5
ABW,2000,total,45-49,686.2
ABW,2000,total,50-54,608.4
ABW,2000,total,55-59,506.0
ABW,2000,total,60-64,413.9
ABW,2000,total,65-69,302.4
ABW,2000,total,70-74,175.2
ABW,2000,total,75+,286.2
ABW,2005,female,0-4,174.2
ABW,2005,female,5-9,254.8
ABW,2005,female,10-14,327.3
ABW,2005,female, 15-19,374.0
ABW,2005,female,20-24,359.1
ABW,2005,female,25-29,378.3
ABW,2005,female,30-34,458.2
ABW,2005,female,35-39,498.1
ABW,2005,female,40-44,522.1
ABW,2005,female,45-49,468.3
ABW,2005,female,50-54,389.2
ABW,2005,female,55-59,315.4
ABW,2005,female,60-64,271.4
ABW,2005,female,65-69,157.0
ABW,2005,female,70-74,98.8
ABW,2005,female,75+,205.8
ABW,2005,male,0-4,147.9
ABW,2005,male,5-9,215.3
ABW,2005,male,10-14,252.3
ABW,2005,male, 15-19,295.3
ABW,2005,male,20-24,290.6
ABW,2005,male,25-29,307.2
ABW,2005,male,30-34,364.0
ABW,2005,male,35-39,392.6
ABW,2005,male,40-44,412.1
ABW,2005,male,45-49,387.0
ABW,2005,male,50-54,336.2
ABW,2005,male,55-59,273.0
ABW,2005,male,60-64,236.2
ABW,2005,male,65-69,134.8
ABW,2005,male,70-74,76.4
ABW,2005,male,75+,109.1
ABW,2005,total,0-4,322.3
ABW,2005,total,5-9,471.3
ABW,2005,total,10-14,578.8
ABW,2005,total, 15-19,669.3
ABW,2005,total,20-24,649.6
ABW,2005,total,25-29,685.1
ABW,2005,total,30-34,821.6
ABW,2005,total,35-39,890.6
ABW,2005,total,40-44,933.8
ABW,2005,total,45-49,856.4
ABW,2005,total,50-54,727.5
ABW,2005,total,55-59,590.0
ABW,2005,total,60-64,509.0
ABW,2005,total,65-69,291.4
ABW,2005,total,70-74,174.9
ABW,2005,total,75+,310.4
ABW,2010,female,0-4,188.6
ABW,2010,female,5-9,351.7
ABW,2010,female,10-14,434.0
ABW,2010,female, 15-19,475.4
ABW,2010,female,20-24,433.3
ABW,2010,female,25-29,474.2
ABW,2010,female,30-34,640.3
ABW,2010,female,35-39,746.1
ABW,2010,female,40-44,810.5
ABW,2010,female,45-49,755.9
ABW,2010,female,50-54,646.7
ABW,2010,female,55-59,512.8
ABW,2010,female,60-64,395.2
ABW,2010,female,65-69,264.0
ABW,2010,female,70-74,188.4
ABW,2010,female,75+,326.9
ABW,2010,male,0-4,175.9
ABW,2010,male,5-9,339.2
ABW,2010,male,10-14,374.4
ABW,2010,male, 15-19,421.7
ABW,2010,male,20-24,362.8
ABW,2010,male,25-29,386.6
ABW,2010,male,30-34,475.1
ABW,2010,male,35-39,563.8
ABW,2010,male,40-44,603.4
ABW,2010,male,45-49,553.3
ABW,2010,male,50-54,451.7
ABW,2010,male,55-59,365.9
ABW,2010,male,60-64,293.0
ABW,2010,male,65-69,197.5
ABW,2010,male,70-74,123.8
ABW,2010,male,75+,191.9
ABW,2010,total,0-4,364.5
ABW,2010,total,5-9,693.6
ABW,2010,total,10-14,809.7
ABW,2010,total, 15-19,898.5
ABW,2010,total,20-24,795.9
ABW,2010,total,25-29,860.0
ABW,2010,total,30-34,1114.5
ABW,2010,total,35-39,1309.8
ABW,2010,total,40-44,1413.6
ABW,2010,total,45-49,1308.6
ABW,2010,total,50-54,1096.8
ABW,2010,total,55-59,876.9
ABW,2010,total,60-64,687.3
ABW,2010,total,65-69,461.2
ABW,2010,total,70-74,312.6
ABW,2010,total,75+,520.6
ABW,2015,female,0-4,199.2
ABW,2015,female,5-9,280.1
ABW,2015,female,10-14,506.0
ABW,2015,female, 15-19,631.7
ABW,2015,female,20-24,655.7
ABW,2015,female,25-29,656.5
ABW,2015,female,30-34,729.5
ABW,2015,female,35-39,813.1
ABW,2015,female,40-44,871.3
ABW,2015,female,45-49,887.6
ABW,2015,female,50-54,829.3
ABW,2015,female,55-59,669.9
ABW,2015,female,60-64,527.0
ABW,2015,female,65-69,420.0
ABW,2015,female,70-74,275.0
ABW,2015,female,75+,412.1
ABW,2015,male,0-4,186.7
ABW,2015,male,5-9,269.6
ABW,2015,male,10-14,434.9
ABW,2015,male, 15-19,560.4
ABW,2015,male,20-24,545.7
ABW,2015,male,25-29,538.9
ABW,2015,male,30-34,558.6
ABW,2015,male,35-39,627.0
ABW,2015,male,40-44,662.0
ABW,2015,male,45-49,657.0
ABW,2015,male,50-54,571.6
ABW,2015,male,55-59,467.6
ABW,2015,male,60-64,394.2
ABW,2015,male,65-69,320.8
ABW,2015,male,70-74,201.7
ABW,2015,male,75+,260.2
ABW,2015,total,0-4,385.7
ABW,2015,total,5-9,550.1
ABW,2015,total,10-14,943.9
ABW,2015,total, 15-19,1196.9
ABW,2015,total,20-24,1203.2
ABW,2015,total,25-29,1195.2
ABW,2015,total,30-34,1285.9
ABW,2015,total,35-39,1440.1
ABW,2015,total,40-44,1533.1
ABW,2015,total,45-49,1543.5
ABW,2015,total,50-54,1398.5
ABW,2015,total,55-59,1135.9
ABW,2015,total,60-64,920.1
ABW,2015,total,65-69,739.7
ABW,2015,total,70-74,475.4
ABW,2015,total,75+,673.6
ABW,2020,female,0-4,476.8
ABW,2020,female,5-9,490.2
ABW,2020,female,10-14,576.6
ABW,2020,female, 15-19,795.6
ABW,2020,female,20-24,963.3
ABW,2020,female,25-29,1057.9
ABW,2020,female,30-34,1050.7
ABW,2020,female,35-39,979.7
ABW,2020,female,40-44,973.0
ABW,2020,female,45-49,985.1
ABW,2020,female,50-54,964.6
ABW,2020,female,55-59,829.1
ABW,2020,female,60-64,630.0
ABW,2020,female,65-69,491.4
ABW,2020,female,70-74,378.7
ABW,2020,female,75+,487.3
ABW,2020,male,0-4,398.2
ABW,2020,male,5-9,425.4
ABW,2020,male,10-14,472.8
ABW,2020,male, 15-19,662.9
ABW,2020,male,20-24,759.5
ABW,2020,male,25-29,835.2
ABW,2020,male,30-34,800.9
ABW,2020,male,35-39,762.4
ABW,2020,male,40-44,745.3
ABW,2020,male,45-49,749.5
ABW,2020,male,50-54,691.7
ABW,2020,male,55-59,592.9
ABW,2020,male,60-64,462.1
ABW,2020,male,65-69,368.4
ABW,2020,male,70-74,279.0
ABW,2020,male,75+,319.9
ABW,2020,total,0-4,882.8
ABW,2020,total,5-9,924.1
ABW,2020,total,10-14,1056.5
ABW,2020,total, 15-19,1470.1
ABW,2020,total,20-24,1726.3
ABW,2020,total,25-29,1894.1
ABW,2020,total,30-34,1847.9
ABW,2020,total,35-39,1740.9
ABW,2020,total,40-44,1717.8
ABW,2020,total,45-49,1732.0
ABW,2020,total,50-54,1648.2
ABW,2020,total,55-59,1415.3
ABW,2020,total,60-64,1088.0
ABW,2020,total,65-69,856.7
ABW,2020,total,70-74,653.6
ABW,2020,total,75+,801.6
AFG,1990,female,0-4,242627.3
AFG,1990,female,5-9,353642.7
AFG,1990,female,10-14,354845.9
AFG,1990,female, 15-19,304943.0
AFG,1990,female,20-24,298312.4
AFG,1990,female,25-29,310833.7
AFG,1990,female,30-34,300396.7
AFG,1990,female,35-39,281419.6
AFG,1990,female,40-44,240991.8
AFG,1990,female,45-49,200248.9
