Country,Year,Sex,Age,Value
ABW,1990,female,0-4,304.0
ABW,1990,female,5-9,406.0
ABW,1990,female,10-14,435.0
ABW,1990,female, 15-19,392.0
ABW,1990,female,20-24,520.0
ABW,1990,female,25-29,772.0
ABW,1990,female,30-34,851.0
ABW,1990,female,35-39,872.0
ABW,1990,female,40-44,710.0
ABW,1990,female,45-49,506.0
ABW,1990,female,50-54,446.0
ABW,1990,female,55-59,393.0
ABW,1990,female,60-64,378.0
ABW,1990,female,65-69,286.0
ABW,1990,female,70-74,268.0
ABW,1990,female,75+,476.0
ABW,1990,male,0-4,327.0
ABW,1990,male,5-9,421.0
ABW,1990,male,10-14,428.0
ABW,1990,male, 15-19,356.0
ABW,1990,male,20-24,440.0
ABW,1990,male,25-29,616.0
ABW,1990,male,30-34,640.0
ABW,1990,male,35-39,621.0
ABW,1990,male,40-44,496.0
ABW,1990,male,45-49,352.0
ABW,1990,male,50-54,316.0
ABW,1990,male,55-59,299.0
ABW,1990,male,60-64,299.0
ABW,1990,male,65-69,237.0
ABW,1990,male,70-74,246.0
ABW,1990,male,75+,335.0
ABW,1990,total,0-4,631.0
ABW,1990,total,5-9,827.0
ABW,1990,total,10-14,863.0
ABW,1990,total, 15-19,748.0
ABW,1990,total,20-24,960.0
ABW,1990,total,25-29,1388.0
ABW,1990,total,30-34,1491.0
ABW,1990,total,35-39,1493.0
ABW,1990,total,40-44,1206.0
ABW,1990,total,45-49,858.0
ABW,1990,total,50-54,762.0
ABW,1990,total,55-59,692.0
ABW,1990,total,60-64,677.0
ABW,1990,total,65-69,523.0
ABW,1990,total,70-74,514.0
ABW,1990,total,75+,811.0
ABW,1995,female,0-4,366.0
ABW,1995,female,5-9,619.0
ABW,1995,female,10-14,664.0
ABW,1995,female, 15-19,656.0
ABW,1995,female,20-24,857.0
ABW,1995,female,25-29,1352.0
ABW,1995,female,30-34,1583.0
ABW,1995,female,35-39,1361.0
ABW,1995,female,40-44,1224.0
ABW,1995,female,45-49,966.0
ABW,1995,female,50-54,607.0
ABW,1995,female,55-59,485.0
ABW,1995,female,60-64,417.0
ABW,1995,female,65-69,383.0
ABW,1995,female,70-74,254.0
ABW,1995,female,75+,506.0
ABW,1995,male,0-4,365.0
ABW,1995,male,5-9,637.0
ABW,1995,male,10-14,638.0
ABW,1995,male, 15-19,625.0
ABW,1995,male,20-24,783.0
